datetime,timestamp,open,high,low,close,funding_rate
2021-09-09 08:00:00.001,1631174400.001,207.9150,212.2620,205.4880,208.0940,0.00029603
2021-09-09 16:00:00.002,1631203200.002,201.2920,202.9200,198.3880,200.5400,0.0001
2021-09-10 00:00:00.000,1631232000.0,188.0790,190.6740,183.2380,188.6720,0.0001
2021-09-10 08:00:00.002,1631260800.002,182.8030,184.9280,176.6790,180.7100,0.00025095
2021-09-10 16:00:00.000,1631289600.0,179.5230,179.5230,178.1350,178.1350,0.00026206
2021-09-11 00:00:00.002,1631318400.002,179.7490,183.2930,179.5070,182.1960,0.00010769
2021-09-11 08:00:00.001,1631347200.001,178.8400,180.1020,176.2200,179.0730,0.0001
2021-09-11 16:00:00.000,1631376000.0,188.4130,190.0090,185.7610,186.7730,0.0001
2021-09-12 00:00:00.002,1631404800.002,179.2450,180.5850,172.9940,175.9980,0.0001
2021-09-12 08:00:00.000,1631433600.0,178.0420,181.7210,178.0420,180.9930,0.00017722
2021-09-12 16:00:00.000,1631462400.0,179.4770,179.8990,177.3760,177.5680,0.00032233
2021-09-13 00:00:00.000,1631491200.0,174.4910,174.6280,165.1820,167.7480,0.00021258
2021-09-13 08:00:00.000,1631520000.0,153.0440,155.8240,150.6050,154.1050,0.00015025
2021-09-13 16:00:00.000,1631548800.0,157.1490,158.8230,154.6200,158.7000,0.0001
2021-09-14 00:00:00.000,1631577600.0,169.5660,171.9140,166.9850,169.7300,0.0001
2021-09-14 08:00:00.000,1631606400.0,166.1080,171.4100,165.2400,169.9790,0.0001
2021-09-14 16:00:00.000,1631635200.0,159.4800,160.1100,157.1110,158.8120,0.0001
2021-09-15 00:00:00.000,1631664000.0,158.7500,162.1310,156.2260,161.0130,0.00014154
2021-09-15 08:00:00.001,1631692800.001,162.1580,164.1190,161.1130,161.9260,0.0001584
2021-09-15 16:00:00.000,1631721600.0,161.9880,164.7150,161.2680,161.5000,0.0003155
2021-09-16 00:00:00.002,1631750400.002,158.9730,159.7770,154.0350,154.4450,0.00034838
2021-09-16 08:00:00.002,1631779200.002,160.8710,161.9810,159.2470,159.6510,0.00046812
2021-09-16 16:00:00.002,1631808000.002,154.8850,159.1140,154.7170,158.0660,0.00046627
2021-09-17 00:00:00.000,1631836800.0,152.6940,153.4890,148.8730,148.8780,0.00047613
2021-09-17 08:00:00.000,1631865600.0,143.6880,145.7700,143.1760,143.9260,0.0005351
2021-09-17 16:00:00.000,1631894400.0,144.6450,145.8720,142.8800,144.6780,0.0001372
2021-09-18 00:00:00.000,1631923200.0,147.6480,147.8980,144.3660,145.7170,0.0001
2021-09-18 08:00:00.000,1631952000.0,157.4650,161.5910,157.4650,158.9870,0.0001
2021-09-18 16:00:00.001,1631980800.001,163.6530,165.2920,161.2660,161.4780,0.0001
2021-09-19 00:00:00.001,1632009600.001,169.2600,170.9040,168.1590,168.7430,0.0001
2021-09-19 08:00:00.000,1632038400.0,161.7220,163.5260,160.8520,162.9260,0.0001
2021-09-19 16:00:00.003,1632067200.003,159.5510,160.3360,156.7810,157.3080,0.0001
2021-09-20 00:00:00.003,1632096000.003,153.2830,153.5130,147.6550,149.3550,0.00014703
2021-09-20 08:00:00.002,1632124800.002,139.0130,142.3770,138.3230,141.2430,0.0001
2021-09-20 16:00:00.000,1632153600.0,144.1040,145.9580,142.3150,143.1810,0.0001
2021-09-21 00:00:00.001,1632182400.001,132.8790,134.8290,125.2030,132.3440,0.0001
2021-09-21 08:00:00.000,1632211200.0,143.3770,144.4380,141.7760,143.5220,0.0001
2021-09-21 16:00:00.000,1632240000.0,138.5000,138.5000,134.0380,134.2950,0.0001
2021-09-22 00:00:00.003,1632268800.003,124.2410,128.7240,122.2290,124.7160,0.0001
2021-09-22 08:00:00.000,1632297600.0,132.9650,133.7830,131.8550,132.3210,0.0001
2021-09-22 16:00:00.000,1632326400.0,141.6500,143.5220,140.3010,142.8810,0.0001
2021-09-23 00:00:00.000,1632355200.0,147.9620,151.5300,144.9250,145.4920,0.0001
2021-09-23 08:00:00.001,1632384000.001,151.2190,152.3300,148.8870,149.1050,0.0001
2021-09-23 16:00:00.001,1632412800.001,146.0490,147.1590,144.8980,146.1630,0.0001
2021-09-24 00:00:00.000,1632441600.0,149.8610,151.1450,148.7370,149.2070,0.0001
2021-09-24 08:00:00.000,1632470400.0,144.5090,146.3360,142.9860,143.2320,0.0001
2021-09-24 16:00:00.000,1632499200.0,137.6210,139.0350,136.9530,137.7470,0.0001
2021-09-25 00:00:00.001,1632528000.001,139.1440,141.8740,138.4660,141.8130,0.0001
2021-09-25 08:00:00.000,1632556800.0,139.9480,140.8610,135.5100,139.8680,0.0001
2021-09-25 16:00:00.000,1632585600.0,138.6270,138.8640,136.5730,137.5480,0.0001
2021-09-26 00:00:00.001,1632614400.001,136.0670,136.2950,131.0600,132.3600,0.0001
2021-09-26 08:00:00.003,1632643200.003,126.8540,128.7350,125.8200,128.3720,0.0001
2021-09-26 16:00:00.000,1632672000.0,140.2600,140.5410,137.9010,138.4650,0.0001
2021-09-27 00:00:00.000,1632700800.0,135.6390,138.5780,133.7510,137.9130,0.0001
2021-09-27 08:00:00.000,1632729600.0,138.2020,142.6450,137.8690,142.6450,0.0001
2021-09-27 16:00:00.000,1632758400.0,145.3350,145.3460,140.5660,141.7180,0.0001
2021-09-28 00:00:00.000,1632787200.0,136.3180,138.5650,135.4690,137.1640,0.0001
2021-09-28 08:00:00.000,1632816000.0,133.6310,135.4300,132.8590,135.1320,0.0001
2021-09-28 16:00:00.002,1632844800.002,130.3750,132.0850,129.5840,130.0130,0.0001
2021-09-29 00:00:00.000,1632873600.0,132.1470,138.3970,132.0750,136.0700,0.0001
2021-09-29 08:00:00.001,1632902400.001,139.6610,139.6610,137.4480,137.7840,0.0001
2021-09-29 16:00:00.000,1632931200.0,135.6150,136.3220,134.0630,134.4180,0.0001
2021-09-30 00:00:00.000,1632960000.0,135.2570,138.3490,134.8250,138.2580,0.0001
2021-09-30 08:00:00.000,1632988800.0,136.9200,137.5360,134.1090,135.7740,0.0001
2021-09-30 16:00:00.000,1633017600.0,138.3130,138.6090,136.2340,137.0010,0.0001
2021-10-01 00:00:00.000,1633046400.0,141.3790,144.9330,141.2840,143.5000,0.0001
2021-10-01 08:00:00.002,1633075200.002,142.8090,144.3320,142.4580,143.9750,0.0001
2021-10-01 16:00:00.000,1633104000.0,157.2940,158.5170,155.4300,157.9800,0.0001
2021-10-02 00:00:00.002,1633132800.002,161.5980,161.6150,157.5680,159.4620,0.0001
2021-10-02 08:00:00.000,1633161600.0,158.5470,158.9440,156.7390,157.9180,0.0001
2021-10-02 16:00:00.000,1633190400.0,170.4410,173.5690,170.0910,172.7840,0.0001
2021-10-03 00:00:00.000,1633219200.0,169.0020,171.5240,165.7490,167.8060,0.0001
2021-10-03 08:00:00.002,1633248000.002,171.5750,173.4330,171.3070,172.1850,0.0001
2021-10-03 16:00:00.003,1633276800.003,172.6490,174.6430,172.2250,174.3220,0.0001
2021-10-04 00:00:00.000,1633305600.0,173.0660,173.0660,169.1230,169.7000,0.0001
2021-10-04 08:00:00.000,1633334400.0,169.7050,169.8470,166.7380,167.4050,0.0001
2021-10-04 16:00:00.000,1633363200.0,166.4780,170.2230,166.0080,168.6450,0.0001
2021-10-05 00:00:00.000,1633392000.0,167.1730,169.9920,165.6210,169.5350,0.0001
2021-10-05 08:00:00.000,1633420800.0,166.2530,167.3840,165.8580,167.2880,0.0001
2021-10-05 16:00:00.001,1633449600.001,162.4990,163.7530,160.3570,162.5680,0.0001
2021-10-06 00:00:00.000,1633478400.0,164.7600,165.5870,163.5210,164.4710,0.00028897
2021-10-06 08:00:00.001,1633507200.001,156.0280,156.4800,151.3410,152.2440,0.00037077
2021-10-06 16:00:00.000,1633536000.0,160.7780,161.8450,158.1120,161.1040,0.0001
2021-10-07 00:00:00.000,1633564800.0,154.0250,155.2060,151.8340,153.2640,0.00036352
2021-10-07 08:00:00.000,1633593600.0,158.6110,160.2270,157.5320,158.7760,0.00033994
2021-10-07 16:00:00.002,1633622400.002,156.0220,156.1350,153.7090,154.4230,0.00038101
2021-10-08 00:00:00.001,1633651200.001,154.3660,156.5860,154.2640,156.0210,0.00013688
2021-10-08 08:00:00.001,1633680000.001,158.8410,161.6620,158.2790,161.1380,0.00017532
2021-10-08 16:00:00.000,1633708800.0,166.6780,168.0520,165.4100,167.7690,0.0001
2021-10-09 00:00:00.000,1633737600.0,158.9050,160.1100,157.7690,159.4610,0.00016482
2021-10-09 08:00:00.001,1633766400.001,159.3330,160.1080,157.6130,158.5190,0.0001
2021-10-09 16:00:00.000,1633795200.0,158.1490,158.5630,156.2950,156.5570,0.00035828
2021-10-10 00:00:00.000,1633824000.0,156.9030,156.9570,153.8500,154.1500,0.00025817
2021-10-10 08:00:00.000,1633852800.0,155.1390,157.8430,154.6630,157.6480,0.00048371
2021-10-10 16:00:00.000,1633881600.0,154.5730,154.7670,153.5190,153.8090,0.00027119
2021-10-11 00:00:00.000,1633910400.0,147.6040,149.5640,145.4700,149.2100,0.0001
2021-10-11 08:00:00.000,1633939200.0,152.4500,154.0940,152.2920,153.5750,0.0001
2021-10-11 16:00:00.002,1633968000.002,147.9250,148.2000,146.2280,146.2800,0.00025245
2021-10-12 00:00:00.000,1633996800.0,144.8830,145.1190,141.5860,143.4340,0.0001
2021-10-12 08:00:00.000,1634025600.0,143.4450,145.2730,143.0470,144.5980,0.0001
2021-10-12 16:00:00.000,1634054400.0,143.5530,149.8150,143.0660,149.6220,0.0001
2021-10-13 00:00:00.000,1634083200.0,152.3150,155.3580,151.0870,153.4000,0.0001
2021-10-13 08:00:00.000,1634112000.0,145.4130,147.6600,145.3400,146.1760,0.0001
2021-10-13 16:00:00.003,1634140800.003,146.4080,146.6000,145.1750,145.8410,0.0001
2021-10-14 00:00:00.000,1634169600.0,148.0840,149.2920,147.4430,147.6240,0.0001
2021-10-14 08:00:00.000,1634198400.0,150.5720,151.9010,150.5720,151.0790,0.0001195
2021-10-14 16:00:00.000,1634227200.0,153.0160,153.6580,150.3960,151.2290,0.00021881
2021-10-15 00:00:00.002,1634256000.002,150.0460,150.3270,147.3910,148.0640,0.0002062
2021-10-15 08:00:00.002,1634284800.002,161.6370,165.3720,158.8060,159.4400,0.0001
2021-10-15 16:00:00.000,1634313600.0,159.3650,162.2870,158.7910,161.9250,0.0001
2021-10-16 00:00:00.000,1634342400.0,163.2360,163.4420,159.6080,160.2360,0.0001
2021-10-16 08:00:00.001,1634371200.001,158.4350,160.9890,158.1830,160.7020,0.00030864
2021-10-16 16:00:00.000,1634400000.0,159.7010,160.1310,159.0590,160.0050,0.0001848
2021-10-17 00:00:00.000,1634428800.0,157.6600,159.6340,156.8430,159.3190,0.00027586
2021-10-17 08:00:00.000,1634457600.0,162.2770,167.6200,162.2510,166.5440,0.00015975
2021-10-17 16:00:00.002,1634486400.002,160.8660,161.8460,159.3240,160.9000,0.0004119
2021-10-18 00:00:00.002,1634515200.002,160.2860,162.2770,159.5440,161.2840,0.0001
2021-10-18 08:00:00.000,1634544000.0,158.9950,160.0280,158.5100,158.9010,0.00019682
2021-10-18 16:00:00.000,1634572800.0,156.8070,157.6890,156.0770,156.4930,0.00012829
2021-10-19 00:00:00.000,1634601600.0,157.2640,157.7540,156.3600,156.4140,0.00029402
2021-10-19 08:00:00.002,1634630400.002,157.8040,158.0370,156.5550,157.7640,0.0002571
2021-10-19 16:00:00.002,1634659200.002,155.6210,156.1840,155.5090,156.0150,0.00017718
2021-10-20 00:00:00.000,1634688000.0,155.9420,157.5880,155.9230,156.6530,0.00020241
2021-10-20 08:00:00.000,1634716800.0,156.6510,157.1290,156.1330,156.9250,0.00011179
2021-10-20 16:00:00.000,1634745600.0,168.9930,174.6000,167.1490,172.4510,0.00012133
2021-10-21 00:00:00.000,1634774400.0,176.8450,188.0700,176.8450,185.6090,0.00016672
2021-10-21 08:00:00.000,1634803200.0,187.2190,193.1170,185.8980,191.2810,0.00053463
2021-10-21 16:00:00.001,1634832000.001,182.7480,185.4330,180.7250,181.1290,0.0005028
2021-10-22 00:00:00.004,1634860800.004,190.6100,202.4050,188.1580,200.3670,0.0001
2021-10-22 08:00:00.000,1634889600.0,203.4070,205.6310,201.8940,203.2100,0.00029264
2021-10-22 16:00:00.001,1634918400.001,206.6120,211.3020,202.8570,208.6470,0.00039652
