datetime,timestamp,open,high,low,close,funding_rate
00:00.0,1568102400,10271.93,10286.15,10247.2,10256.08,0.0001
00:00.0,1568131200,10172.13,10237.41,10172.13,10225.4,0.0001
00:00.0,1568160000,10094.27,10293.11,10090.62,10142.52,0.0001
00:00.0,1568188800,10068.41,10074.32,10004.26,10005.18,0.0001
00:00.0,1568217600,9992.18,10110.21,9934.11,10044.87,0.0001
00:00.0,1568246400,10163.06,10205.46,10141.11,10155.22,0.0001
00:00.0,1568275200,10079.76,10151.44,10076.95,10147.32,0.0001
00:00.0,1568304000,10327.25,10349.91,10239.42,10269.94,0.0001
00:00.0,1568332800,10414.96,10440.55,10368.98,10387.34,0.0001
00:00.0,1568361600,10283.68,10327.14,10255.25,10278.48,0.0001
00:00.0,1568390400,10294.81,10309.92,10279.35,10296.3,0.0001
00:00.0,1568419200,10343.01,10353.72,10296.1,10309.03,0.0001
00:00.0,1568448000,10319.07,10348,10307.72,10313.11,0.0001
00:00.0,1568476800,10355.61,10358.08,10325.41,10349.79,0.0001
00:00.0,1568505600,10333.47,10359.2,10312.05,10320.93,0.0001
00:00.0,1568534400,10308.08,10308.4,10283.56,10288.89,0.0001
00:00.0,1568563200,10306.79,10332.61,10293.92,10302.11,0.0001
00:00.0,1568592000,10302,10344.73,10300.36,10327.7,0.0001
00:00.0,1568620800,10301.95,10316.71,10289.04,10291.68,0.0001
00:00.0,1568649600,10117.4,10160.39,10080.7,10144.27,0.0001
00:00.0,1568678400,10257.3,10261.36,10175.2,10216.78,0.0001
00:00.0,1568707200,10202.92,10205.81,10165.34,10171.85,0.0001
00:00.0,1568736000,10201.09,10261.41,10200.39,10252,0.0001
00:00.0,1568764800,10183.87,10218,10183.87,10217.85,0.0001
00:00.0,1568793600,10199.39,10199.47,10150,10164,0.0001
00:00.0,1568822400,10172.84,10204.51,10132.51,10191.48,0.0001
00:00.0,1568851200,10154.7,10185.55,10145,10177.46,0.0001
00:00.0,1568880000,9872.71,9891.67,9853.01,9880.43,0.0001
00:00.0,1568908800,9882,10109.51,9875.25,10030.83,0.0001
00:00.0,1568937600,10247.7,10279.3,10218.86,10223.11,0.0001
00:00.0,1568966400,10156.11,10187.1,10128.51,10139.58,0.0001
00:00.0,1568995200,10179.55,10189.13,10100.18,10105.3,0.0001
00:00.0,1569024000,10166.56,10175.3,10135.82,10157.43,0.0001
00:00.0,1569052800,10081.07,10081.07,9986.32,10034.66,0.0001
00:00.0,1569081600,10037.05,10056,9984,10002.85,0.0001
00:00.0,1569110400,9992.7,10001.98,9939.11,9959.99,0.0001
00:00.0,1569139200,10024.91,10089.52,10008,10013.72,0.0001
00:00.0,1569168000,9990,10022.09,9970,10012.35,0.0001
00:00.0,1569196800,10027.69,10046.91,9954.22,9990.2,0.0001
00:00.0,1569225600,9904,9944.57,9904,9937.41,0.0001
00:00.0,1569254400,9867.54,9883.89,9779,9814.28,0.0001
00:00.0,1569283200,9701.1,9745.85,9603.5,9740.34,0.0001
00:00.0,1569312000,9754.05,9768,9701,9721.74,0.0001
00:00.0,1569340800,9529.45,9598,9469.92,9502.98,0.0001
00:00.0,1569369600,8493.32,8723.54,8492.65,8673.13,0.0001
00:00.0,1569398400,8325.28,8546.73,8215,8250.36,0.0001
00:00.0,1569427200,8295.79,8353.41,8223.71,8340.05,0.0001
00:00.0,1569456000,8428.15,8443.55,8375.16,8379.85,0.0001
00:00.0,1569484800,8378.75,8427.04,8367.89,8409.42,0.0001
00:00.0,1569513600,7924.55,8018.18,7700.67,7946.2,0.0001
00:00.0,1569542400,8061.98,8093.21,7955.66,7973.1,0.0001
00:00.0,1569571200,8060,8128.78,8056.94,8079.78,0.0001
00:00.0,1569600000,7976.3,8046.87,7934.73,8000.02,0.0001
00:00.0,1569628800,8178.26,8211.21,8154.25,8196.32,0.0001
00:00.0,1569657600,8212.47,8217.38,8174.1,8184.9,0.0001
00:00.0,1569686400,8067.1,8133.33,8038.28,8088.53,0.0001
00:00.0,1569715200,8199,8226.35,8161.69,8201.57,0.0001
00:00.0,1569744000,8086.33,8113.31,8082.02,8084.44,0.0001
00:00.0,1569772800,7965.7,8032.73,7930,8030.37,0.0001
00:00.0,1569801600,8042.08,8054.82,7981.05,8006.53,0.0001
00:00.0,1569830400,7793.19,7894.99,7775.01,7864.36,0.0001
00:00.0,1569859200,8277.05,8331.89,8223,8259.49,0.0001
00:00.0,1569888000,8285.31,8312.3,8187.57,8199.03,0.0001
00:00.0,1569916800,8400.79,8409,8342.9,8374,0.0001
00:00.0,1569945600,8361.18,8462.87,8323,8423,0.0001
00:00.0,1569974400,8290,8321.91,8263.91,8282.35,0.0001
00:00.0,1570003200,8194.76,8266.34,8194.76,8232.87,0.0001
00:00.0,1570032000,8230.41,8264.36,8202,8213.81,-0.00052458
00:00.0,1570060800,8353.4,8386,8310,8314.98,-0.0003222
00:00.0,1570089600,8258.9,8285.77,8235.09,8285.77,-6.88E-05
00:00.0,1570118400,8104.41,8206.25,8100,8170.1,0.0001
00:00.0,1570147200,8219.95,8227.42,8080.93,8104.01,0.0001
00:00.0,1570176000,8130,8131.71,8080.81,8087.93,3.592e-05
00:00.0,1570204800,8142.63,8199.5,8121.1,8175.4,-0.00013704
00:00.0,1570233600,8130,8144.44,8092.38,8120.5,-0.00025688
00:00.0,1570262400,8104.88,8109.43,8066.74,8085.93,-0.0002266
00:00.0,1570291200,8075.3,8095.87,8039.3,8069.11,-1.23E-05
00:00.0,1570320000,8122.01,8148.43,8109,8121.31,-0.00011057
00:00.0,1570348800,7959.39,7960,7859.03,7870.8,-3.64E-05
