datetime,timestamp,open,high,low,close,funding_rate
2019-11-27 08:00:00.000,1574841600.0,125.03,145.01,125.03,133,0.0001
2019-11-27 16:00:00.000,1574870400.0,150.72,153.58,148.33,152.60,0.0001
2019-11-28 00:00:00.000,1574899200.0,154.29,154.47,154.21,154.21,0.0001
2019-11-28 08:00:00.000,1574928000.0,152.04,152.76,151.47,152.70,1.401e-05
2019-11-28 16:00:00.000,1574956800.0,153.78,153.95,152.46,153.68,-0.0001061
2019-11-29 00:00:00.000,1574985600.0,150.56,152.67,150.55,152.08,-0.00022765
2019-11-29 08:00:00.000,1575014400.0,152.51,153.18,152.06,152.17,-0.00020527
2019-11-29 16:00:00.000,1575043200.0,156.70,157.40,154.38,154.77,-8.117e-05
2019-11-30 00:00:00.000,1575072000.0,154.40,155.15,153.79,154.45,1.27e-06
2019-11-30 08:00:00.000,1575100800.0,154.65,154.80,153.92,153.99,-3.953e-05
2019-11-30 16:00:00.000,1575129600.0,151.46,152.49,150.75,152.13,0.0001
2019-12-01 00:00:00.000,1575158400.0,151.38,151.38,150.09,150.60,0.0001
2019-12-01 08:00:00.000,1575187200.0,146.77,147.46,146.17,146.66,0.0001
2019-12-01 16:00:00.000,1575216000.0,149.49,150.39,148.98,149.85,0.0001
2019-12-02 00:00:00.000,1575244800.0,150.72,151.17,149.64,150.33,0.0001
2019-12-02 08:00:00.000,1575273600.0,148.31,148.35,147.15,147.97,0.0001
2019-12-02 16:00:00.000,1575302400.0,148.36,148.79,147.24,147.69,0.0001
2019-12-03 00:00:00.000,1575331200.0,148.59,149.80,148.58,149.15,0.0001
2019-12-03 08:00:00.000,1575360000.0,148.33,148.67,148.28,148.67,0.0001
2019-12-03 16:00:00.000,1575388800.0,148.11,148.50,147.78,148.28,0.0001
2019-12-04 00:00:00.000,1575417600.0,147.12,147.16,143.37,144.47,0.0001
2019-12-04 08:00:00.000,1575446400.0,144.07,145.79,143.30,145.26,0.0001
2019-12-04 16:00:00.000,1575475200.0,149,149.61,148.88,149.32,0.0001
2019-12-05 00:00:00.000,1575504000.0,145.36,145.62,145.01,145.55,1.618e-05
2019-12-05 08:00:00.001,1575532800.001,145.63,145.93,145.31,145.71,0.0001
2019-12-05 16:00:00.000,1575561600.0,147,147.38,146.34,146.85,0.0001
2019-12-06 00:00:00.000,1575590400.0,148.08,148.25,146.82,147.34,0.0001
2019-12-06 08:00:00.000,1575619200.0,147.67,147.72,147.12,147.33,8.067e-05
2019-12-06 16:00:00.000,1575648000.0,147.13,147.44,146.84,147.07,0.0001
2019-12-07 00:00:00.000,1575676800.0,148.41,148.90,148.24,148.30,0.0001
2019-12-07 08:00:00.001,1575705600.001,148.43,148.66,146.99,147.76,0.0001
2019-12-07 16:00:00.000,1575734400.0,148.18,148.31,147.56,147.63,0.0001
2019-12-08 00:00:00.000,1575763200.0,147.08,147.53,146.57,147.38,0.0001
2019-12-08 08:00:00.000,1575792000.0,146.96,147.01,146.79,146.96,0.0001
2019-12-08 16:00:00.000,1575820800.0,150.62,150.99,149.85,150.23,3.335e-05
2019-12-09 00:00:00.000,1575849600.0,150.41,150.97,150.15,150.59,0.0001
2019-12-09 08:00:00.000,1575878400.0,149.30,149.31,148.59,149.01,0.0001
2019-12-09 16:00:00.000,1575907200.0,147.94,148.27,146.91,147.63,0.0001
2019-12-10 00:00:00.000,1575936000.0,147.36,147.70,147.16,147.66,0.0001
