ts,txSig,recordId,slot,marketIndex,fundingRate,fundingRateLong,fundingRateShort,cumulativeFundingRateLong,cumulativeFundingRateShort,oraclePriceTwap,markPriceTwap,periodRevenue,baseAssetAmountWithAmm,baseAssetAmountWithUnsettledLp,programId,fundingRate_pct
1690923606,CAujwy7hGQqtRehr8z626cnisC6sTvcSEJnr6mJAzFehfBzPanVYZyQkU1hibEYX3JyyXtPAWGU3ctjjCXyX9hc,5576,208874888,1,2.130429875,2.130429875,2.130429875,2020.241340933,2019.78091345,29192.650328,29243.780645,55.398991,0.951031331,-0.001131331,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH,213.04298749999998
1690912804,57rQASnLMpHzwVuik7Dq366vRkLntL7qDMofZQjHtWyRbBjHcQBEqR4h6bPZjf7jAWPemJewSxEVXJcuaXQiXoJR,5573,208850319,1,0.800016166,0.800016166,0.800016166,2010.155323101,2009.694895618,28919.661217,28938.861605,-14.519466,0.952435232,-0.000935232,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH,80.0016166
1690855211,64hRUDTGFdv1CuENLBcrZHNgQsmoemWQ2br5W7HVL91iozdMJ28WWwdXHPLxFcxxun9GRuoT9gDa2Evv78dKmA3P,5557,208719339,1,0.314923208,0.314923208,0.314923208,1995.228556898,1994.768129415,29247.661486,29255.219643,145.394823,1.594039785,0.000160215,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH,31.4923208
1690873204,56bS93awYLK1Map8fSBVhqLLpV8AW96geyLjCMcZq1Zkt3gbKGQfwe9RdMqCYc9nMP8bZeyZZpNx1LTquTuPHJk7,5562,208760126,1,0.906679458,0.906679458,0.906679458,1999.133260938,1998.672833455,28915.393654,28937.153961,5.441714,1.558675441,0.000224559,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH,90.6679458
1690905607,5XHrSweksWghbMCyPxHK3hvFMpJ5wj8wwDifdGduVnP9F5MKkXZQsQerpQFbRMDFbY9qBsBC1dwwQJjHehHPvCs8,5571,208833932,1,0.530512083,0.530512083,0.530512083,2008.83766031,2008.377232827,28838.916239,28851.648529,137.314571,0.958226943,-0.047526943,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH,53.0512083
1690902005,4g7G8Qfm1enB5HNe3J1Ty6ixVxQquUF6Ak9tBnwam1CQed3ZnfZamhSWT6aZm8jCDEbXbLWNMYo7N6LsxFYnhK5m,5570,208825930,1,0.428001833,0.428001833,0.428001833,2008.307148227,2007.846720744,28852.152681,28862.424725,62.778787,1.370117126,8.2874e-05,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH,42.8001833
1690848004,5ZWi4szroxuE2bB4GzZS8xi2RVcDn3ogCtGe9c7kVttkCN9ovqrmcdbQ6sUh49Bz2gXNPQ4E3EnC18zHAayCX6UH,5555,208702908,1,2.369484416,2.369484416,2.369484416,1992.077058274,1991.616630791,29217.417268,29274.284894,-31.855979,1.611039785,0.000160215,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH,236.94844160000002
1690862404,5wBktxqeHGQoe9MQ3yR4XPAEiGWZTu6hfMQUw3oGLEpSim1E3JdsBUxNwTQLyTt8Twg5zbEytrSKfPU9xBHfseos,5559,208735470,1,0.209381833,0.209381833,0.209381833,1995.670667314,1995.210239831,28953.906932,28958.932096,161.528902,1.583075441,0.000224559,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH,20.9381833
1690866012,4rnZfcdHi3QTPrcNfCfV27UBCqiVND3FfAMLFdeStkp38DPLd3a8efYGhH2AaHC6BN3ED685AkF9KVE48WRUssMw,5560,208743720,1,0.727845083,0.727845083,0.727845083,1996.398512397,1995.938084914,28898.135182,28915.603464,-53.974862,1.580475441,0.000224559,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH,72.7845083
1690858805,2iTJhA3WNxpE5NDcYwMX9k6R6Ac7LNn5pXQBPCa5K4XwfRuywsGjofkfvJZqS4i6W3YgvfMPbbuSJrUcNMHdHEc1,5558,208727333,1,0.232728583,0.232728583,0.232728583,1995.461285481,1995.000857998,29078.513182,29084.098668,470.782231,1.618175441,0.000224559,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH,23.2728583
